code,parent_code,name,region_type,center_lat,center_lng
11170113,11170,원효로2가,eup-myeon-dong,37.53634866025902,126.9634488789283
11170114,11170,신창동,eup-myeon-dong,37.53583765948197,126.95494490725034
11170115,11170,산천동,eup-myeon-dong,37.53570598119077,126.95149005206893
11170116,11170,청암동,eup-myeon-dong,37.53425535672193,126.94686219558056
11170117,11170,원효로3가,eup-myeon-dong,37.534317148125055,126.95771555495048
11170118,11170,원효로4가,eup-myeon-dong,37.532929546119824,126.9506291020198
11170119,11170,효창동,eup-myeon-dong,37.54357361698162,126.96070503762795
11170120,11170,도원동,eup-myeon-dong,37.53878207060637,126.95624444312443
11170121,11170,용문동,eup-myeon-dong,37.53772096418938,126.95969290182019
11170122,11170,문배동,eup-myeon-dong,37.53712738685081,126.96898738098378
11170123,11170,신계동,eup-myeon-dong,37.53545072005039,126.96468419521058
11170124,11170,한강로1가,eup-myeon-dong,37.5358401268208,126.97308081469254
11170125,11170,한강로2가,eup-myeon-dong,37.53127737970247,126.9685864210542
11170126,11170,용산동3가,eup-myeon-dong,37.53216290522335,126.97627274862103
11170127,11170,용산동5가,eup-myeon-dong,37.5255999079294,126.97398683876324
11170128,11170,한강로3가,eup-myeon-dong,37.52804176415576,126.96321266477187
11170129,11170,이촌동,eup-myeon-dong,37.51882936926515,126.96511855999287
11170130,11170,이태원동,eup-myeon-dong,37.538856679871145,126.99226121905684
11170131,11170,한남동,eup-myeon-dong,37.537433777547925,127.00608212909314
11170132,11170,동빙고동,eup-myeon-dong,37.523577051457934,126.9951605852341
11170133,11170,서빙고동,eup-myeon-dong,37.51912382029193,126.9913841738143
11170134,11170,주성동,eup-myeon-dong,37.52156844952255,127.00027095883377
11170135,11170,용산동6가,eup-myeon-dong,37.516857374225,126.984195859905
11170136,11170,보광동,eup-myeon-dong,37.52688194494461,127.00168269520579
11200,11,성동구,si-gun-gu,37.55067234212737,127.04094427936553
11200101,11200,상왕십리동,eup-myeon-dong,37.56846355933712,127.02553357048993
11200102,11200,하왕십리동,eup-myeon-dong,37.56429027664535,127.02857688619213
11200103,11200,홍익동,eup-myeon-dong,37.567101053290855,127.03270291212691
11200104,11200,도선동,eup-myeon-dong,37.563419631483605,127.03320598013582
11200105,11200,마장동,eup-myeon-dong,37.56709958381339,127.04072691619757
11200106,11200,사근동,eup-myeon-dong,37.558944150515146,127.04673479156456
11200107,11200,행당동,eup-myeon-dong,37.55917034037813,127.0352320349403
11200108,11200,응봉동,eup-myeon-dong,37.55053293046328,127.03484150286187
11200109,11200,금호동1가,eup-myeon-dong,37.55295419163768,127.02458419988221
11200110,11200,금호동2가,eup-myeon-dong,37.55280415846256,127.02112866378266
11200111,11200,금호동3가,eup-myeon-dong,37.55036273401984,127.01939631448937
11200112,11200,금호동4가,eup-myeon-dong,37.545198889632445,127.02319363347686
11200113,11200,옥수동,eup-myeon-dong,37.54211775074319,127.0219822973853
11200114,11200,성수동1가,eup-myeon-dong,37.54311583746812,127.0419099350435
11200115,11200,성수동2가,eup-myeon-dong,37.539663757614974,127.05819687432358
11200118,11200,송정동,eup-myeon-dong,37.55409886483535,127.06214419940889
11200122,11200,용답동,eup-myeon-dong,37.56242634340579,127.05506748327355
11215,11,광진구,si-gun-gu,37.54813929379469,127.0857355399499
11215101,11215,중곡동,eup-myeon-dong,37.563058497999535,127.08830714219374
11215102,11215,능동,eup-myeon-dong,37.55112834315625,127.08187332334319
11215103,11215,구의동,eup-myeon-dong,37.543597843627666,127.09220702422867
11215104,11215,광장동,eup-myeon-dong,37.54772412365905,127.10419758558066
11215105,11215,자양동,eup-myeon-dong,37.53237076263595,127.07446359465354
11215107,11215,화양동,eup-myeon-dong,37.543498810937066,127.07367997016812
11215109,11215,군자동,eup-myeon-dong,37.5532376436369,127.0734753589421
11230,11,동대문구,si-gun-gu,37.583795614682,127.05068230044645
11230101,11230,신설동,eup-myeon-dong,37.574802139071664,127.02557576521954
11230102,11230,용두동,eup-myeon-dong,37.5762309525566,127.03485494033183
11230103,11230,제기동,eup-myeon-dong,37.58477999114089,127.03682202485196
11230104,11230,전농동,eup-myeon-dong,37.58028273388021,127.05565236594401
11230105,11230,답십리동,eup-myeon-dong,37.56992952057007,127.05510334955852
11230106,11230,장안동,eup-myeon-dong,37.57111201837456,127.0674081557222
11230107,11230,청량리동,eup-myeon-dong,37.588310975040564,127.04607214527041
11230108,11230,회기동,eup-myeon-dong,37.594434283225425,127.05210780475
11230109,11230,휘경동,eup-myeon-dong,37.588180549927046,127.06430883951116
11230110,11230,이문동,eup-myeon-dong,37.59939623656149,127.06245430923293
